lat [deg],lon [deg]
34.29027778,-91.9955556
34.30027778,-79.6344444
34.3594833,-91.6797722
34.5512656,-80.5464611
34.5822222,-80.4569444
34.5858333,-80.5805556
34.61416667,-84.6747222
34.62925,-84.9171944
34.64605556,-92.0678917
34.68555556,-83.1516667
34.70848979,-79.8761747
34.75527778,-81.9272222
34.78613889,-83.4155833
34.79777778,-92.8455556
34.8561111,-82.2683333
34.8662583,-79.878925
34.99613889,-82.8278333
35.01641944,-81.00156389
35.0497222,-78.85638889
35.1183333,-80.8066667
35.1397222,-80.9111111
35.14166667,-82.4086111
35.15776944,-83.4243694
35.17,-82.4027778
35.17027778,-80.7855556
35.17916667,-80.84638889
35.1825,-80.82
35.2061111,-80.8058333
35.2108333,-80.8008333
35.25027778,-80.8083333
35.25388889,-80.6480556
35.2675,-91.6397222
35.2884972,-91.461675
35.41007829,-86.0697088
35.43085,-94.3565139
35.5125,-78.3494444
35.7403611,-81.8346667
35.75688889,-78.6406111
35.75788889,-78.6238333
35.8211111,-78.6341667
35.8597222,-77.04027778
35.88991667,-82.821
35.91538889,-78.8935278
35.93916667,-92.1141667
35.9419972,-79.0490333
35.9475,-77.2025
35.9823333,-78.8245
36.01938889,-78.8947778
36.05941667,-78.9780833
36.1833333,-86.8652222
36.19166667,-86.6652778
36.20916667,-77.38388889
36.23527778,-86.7125
36.2875,-86.6883333
36.42138889,-76.3425
36.4620288,-95.033573
36.8761561,-87.47195119
37.0895004,-88.594492
37.48560237,-87.1363854
37.84559817,-87.5922359
37.92837769,-87.3750073
37.9722644,-87.5764045
38.0347932,-85.9141301
38.0922222,-88.1561111
38.1761111,-89.0063889
38.1875,-88.9272222
38.26590376,-85.7688518
38.37194444,-88.2330556
38.41341549,-82.500434
38.5364381,-89.3817481
38.59232159,-80.8845474
38.65870475,-85.144789
38.66315555,-80.7095413
38.72913196,-82.9968686
38.8650952,-80.6762077
38.9217307,-81.0947567
39.0390618,-122.9133292
39.2185833,-96.7100278
39.2681306,-81.5637358
39.72702308,-79.9114471
39.7284397,-79.9109193
39.75366128,-89.5656507
39.82638889,-79.9208333
39.91923887,-81.53123339
39.94506415,-82.9410138
39.951449,-83.7540936
39.96586667,-75.2964972
39.98840049,-82.0804166
39.9974111,-79.9589417
40.00166667,-79.9611111
40.04591376,-78.5289068
40.14805556,-79.8922222
40.14951635,-79.901437
40.26527778,-79.8977778
40.4875,-79.915
40.50388889,-80.0855556
40.50525,-80.0898333
40.53609167,-79.8171
40.5497222,-80.2069444
40.58283738,-82.9887969
40.61293889,-79.71951389
40.6203379,-82.3243284
40.63589367,-82.2393259
40.72339156,-82.1548767
40.7378353,-82.36321869
40.8939083,-79.478625
40.9583333,-79.5472222
40.97888889,-81.78
41.08210556,-95.8897556
41.11819444,-95.8787222
41.1254972,-78.7638861
41.12875,-76.3034722
41.20758197,-76.7521806
41.2748611,-76.3778611
41.31055556,-71.8583333
41.39482097,-71.96062898
41.6001611,-70.4661167
41.6331643,-70.5047501
41.65140556,-91.5076639
41.67891099,-88.000967
41.76909444,-72.66755
41.787175,-89.677075
41.80716667,-80.0632778
41.81694444,-87.75388889
41.88836638,-87.6075518
41.9625,-78.63638889
42.0497222,-70.1822222
42.0817221,-79.8503286
42.1781813,-123.0030974
42.3433333,-77.34388889
42.3622222,-71.0786111
42.3686333,-89.0572611
42.42888889,-124.4122222
42.59027778,-88.4344444
42.64791667,-73.846
42.66544444,-74.326
42.7048333,-71.15313889
42.74844444,-98.058
42.7605833,-74.25477778
42.76527778,-88.2133333
42.77277778,-71.0830556
42.80419444,-73.8476667
42.81564687,-70.87283057
42.8281583,-73.9903722
42.8511111,-73.88725
42.87827778,-74.04075
43.10013889,-76.4981667
43.11502778,-76.4386111
43.15794167,-124.1817944
43.60952778,-73.7375
43.61030556,-75.1099444
43.8111111,-89.0
43.915375,-122.7536028
44.1305472,-122.2435889
44.19563889,-89.4174722
44.4492944,-122.5496667
44.64416667,-72.8361111
44.722,-122.251
44.9305688,-84.69225229
45.2073611,-118.0205
45.6992835,-121.8684125
45.86134908,-96.5725691
46.2527262,-89.4520913
46.4166052,-87.6468026
46.4421599,-87.8006905
46.91555556,-98.0105556
47.26010078,-122.238453
47.37425567,-123.6368365
47.8686089,-98.3578795
47.90285217,-124.5454886
47.9127333,-122.1064583
47.9574572,-95.2763936
48.0333506,-106.0005722
48.1037124,-121.9456866
48.2112101,-122.337374
48.7184462,-122.2143253
61.4102917,-149.1244357
65.00930348,-147.2007725
