lat,lon,time,water_level,flood_level,severity,duration
30.10158889,-90.7364889,0,1.38,1.009674556,1.366777039,7200
30.2274186,-90.8995425,0,1.66,0.919618942,1.805095485,7200
33.5928611,-82.1232222,0,18.2,14.93661807,1.218481983,7200
31.99878889,-93.2132667,0,46.33,44.76390507,1.034985664,7200
30.32138889,-91.0209444,0,9.16,2.887741759,3.172028791,7200
35.9419972,-79.0490333,0,4.55,3.913561905,1.162623745,7200
30.32125,-91.0207222,0,6.73,4.291864736,1.56808297,7200
31.87333333,-92.9663889,0,11.56,9.139300211,1.264867083,7200
30.323527,-91.0181576,0,5.69,3.029836485,1.877989135,7200
48.7184462,-122.2143253,0,9.34,-120870.0122,0,7200
32.5125,-93.7983333,0,172.94,170.3766119,1.015045422,7200
30.38241445,-91.0942712,0,9.54,6.166072404,1.547176124,7200
30.26944444,-90.9169444,0,1.73,1.215267653,1.423554717,7200
30.4049139,-91.1034382,0,10.2,8.950130506,1.139648186,7200
32.26444444,-93.4311111,0,22.2,11.04134375,2.010624839,7200
32.43904276,-93.627121,0,18.13,6.242494624,2.904287643,7200
32.3626553,-93.5029523,0,27.64,14.8571685,1.860381404,7200
30.44446855,-91.1431618,0,32.44,31.86405732,1.018074995,7200
32.6459805,-93.8779585,0,25.16,13.74117638,1.830993163,7200
32.32833333,-93.4311111,0,13.12,8.922765866,1.470396085,7200
30.23741844,-90.8700972,0,1.77,1.070493728,1.653442663,7200
30.41796914,-91.0914935,0,15.86,14.21926934,1.115387832,7200
32.56138889,-93.6461111,0,13.12,5.392927626,2.432815886,7200
32.5697222,-93.6347222,0,20.94,9.588706692,2.183819015,7200
30.10055556,-90.6308333,0,1.86,1.711749417,1.086607643,7200
32.6520916,-93.6698995,0,11.33,8.9585341,1.264715842,7200
32.9586111,-93.9938889,0,13.64,11.37468118,1.199154489,7200
30.48213429,-91.1281616,0,35.04,34.22496014,1.023814195,7200
30.2974169,-90.88370919,0,3.97,1.285261183,3.088866335,7200
30.34047129,-90.9173216,0,8.99,2.659536727,3.380287968,7200
33.38444444,-94.4980556,0,13.96,5.188862735,2.690377586,7200
32.8931941,-93.8224008,0,19.13,16.52482308,1.157652334,7200
34.0475,-94.4127778,0,7.25,3.289484591,2.203992692,7200
30.4407463,-91.044548,0,22.16,21.02232026,1.054117706,7200
32.59759468,-93.3320309,0,17.91,6.777758916,2.64246637,7200
32.9051392,-93.4829512,0,18.43,6.604671591,2.790449116,7200
30.2754733,-90.7792616,0,3.01,1.43587407,2.096284112,7200
30.3326939,-90.8520419,0,6.2,1.908084842,3.249331405,7200
32.2071015,-92.8015434,0,13.96,6.3225,2.207987347,7200
32.74083333,-92.9030556,0,10.98,9.055130975,1.21257219,7200
31.7932239,-92.3618064,0,36.36,15.57688317,2.334228202,7200
30.55827126,-91.0982722,0,4.86,2.289803922,2.122452474,7200
32.10916667,-92.3211111,0,10.41,5.245187166,1.984676556,7200
30.50574466,-91.0401038,0,28.56,19.23360381,1.484901128,7200
32.71329444,-92.3407639,0,42.12,39.91645216,1.055204,7200
30.59629809,-91.0942722,0,4.25,2.976708249,1.427751612,7200
30.5429659,-91.020659,0,28.81,27.53869048,1.046164487,7200
30.56102103,-91.0209368,0,3.91,1.721830223,2.270839452,7200
30.30769444,-90.6087222,0,2.5,1.942885273,1.286746075,7200
30.64324138,-91.09455,0,5.97,4.779493938,1.249086217,7200
30.58768705,-91.0248259,0,63.5,62.5379982,1.015382677,7200
32.3973687,-91.9945763,0,58.71,42.40062689,1.384649339,7200
30.6436856,-91.0074645,0,26.68,23.43946554,1.138251209,7200
32.55916667,-92.0758333,0,35.55,32.06597005,1.108651943,7200
30.6707406,-90.9601024,0,77.03,72.61330882,1.060824816,7200
34.8662583,-79.878925,0,7.03,5.372470414,1.308522795,7200
30.73629484,-90.84176699,0,21.94,18.94902632,1.157843133,7200
30.19963889,-90.12275,0,0.77,0.515547059,1.493559097,7200
34.70848979,-79.8761747,0,13.5,12.69075269,1.063766691,7200
30.44369444,-90.3345833,0,14.46,6.793485009,2.128509886,7200
36.4620288,-95.033573,0,16.18,16.15821242,1.00134839,7200
32.45777778,-91.4761111,0,18.44,8.126835171,2.269025963,7200
30.72907467,-90.48425869,0,8.13,6.058283507,1.341964269,7200
32.38819964,-91.3348363,0,18.8,7.886411844,2.3838471,7200
30.4941111,-90.1702222,0,16.86,10.9020083,1.546504051,7200
30.47638889,-90.0894444,0,2.51,1.381405738,1.816989702,7200
35.25388889,-80.6480556,0,2.52,1.754676961,1.436161787,7200
30.49963635,-90.0845216,0,6.36,4.553342825,1.396776005,7200
35.7403611,-81.8346667,0,4.29,2.821622787,1.520401671,7200
30.93768029,-90.4903728,0,5.71,3.165091822,1.804055086,7200
34.30027778,-79.6344444,0,44.7,40.66215297,1.099302342,7200
32.9847222,-91.6986111,0,20.94,8.177009722,2.56083834,7200
30.30130578,-89.83062149,0,1.8,1.163236301,1.547407004,7200
30.48213676,-90.0389644,0,11.76,8.742056075,1.345221296,7200
30.29788889,-89.7022306,0,6.93,5.183533246,1.336925929,7200
33.83388889,-79.2519444,0,14.65,12.52116667,1.170018768,7200
35.88991667,-82.821,0,3.72,3.455396918,1.076576755,7200
34.79777778,-92.8455556,0,40.27,36.47727034,1.10397515,7200
32.9931799,-91.2626119,0,18.12,7.072804659,2.561925696,7200
30.4625,-89.695,0,24.53,13.23600909,1.853277663,7200
30.70583333,-89.8463889,0,62.6,58.50213752,1.070046372,7200
35.25027778,-80.8083333,0,1.91,0.83344126,2.291703197,7200
35.2108333,-80.8008333,0,2.97,1.03039801,2.882381343,7200
46.4166052,-87.6468026,0,37.38,37.22631837,1.004128306,7200
30.44333889,-81.6682,0,1.85,0.349094222,5.299428875,7200
30.4184361,-89.0825028,0,1.56,0.955255255,1.633071362,7200
37.48560237,-87.1363854,0,9.03,7.746089946,1.165749438,7200
28.15001585,-81.4409055,0,58.53,58.38100169,1.002552171,7200
35.2061111,-80.8058333,0,3.55,0.825996774,4.297837609,7200
35.17027778,-80.7855556,0,2.59,1.330038132,1.94731259,7200
34.29027778,-91.9955556,0,31.75,32.10566469,0.988922058,7200
37.92837769,-87.3750073,0,25.45,22.66655821,1.12279949,7200
32.34769444,-90.1707222,0,9.2,6.453412817,1.425602276,7200
45.86134908,-96.5725691,0,72.61,72.3562679,1.003506705,7200
46.4421599,-87.8006905,0,115.12,112.6258547,1.022145406,7200
30.5910972,-88.9068417,0,4.5,4.2235,1.06546703,7200
35.1825,-80.82,0,2.82,1.356774084,2.078459512,7200
27.87277778,-81.8016667,0,87.94,87.36372476,1.006596276,7200
34.26116389,-91.6990833,0,180.32,178.3416517,1.011093024,7200
35.17916667,-80.84638889,0,2.63,1.123825338,2.340221306,7200
46.4421599,-87.8006905,0,80.68,80.46595795,1.002660032,7200
