name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_113,30,10,2,1,3600,2.777777777777778e-08,1,1,4,dp,2,10,3,20563,19439,25281,0,2,0,60,0.0,86400,86400,1.0,21797.270000000004,3916.7731764271775,0,2,0,60,0.0,86400,86400,1.0,21816.660000000003,4074.4376571837993,0,2,0,60,0.0,86400,86400,1.0,21800.0,3848.3083014678296,497.71415758132935
oa_het_114,10,5,2,5,43200,2.777777777777778e-06,5,1,3,dp,2,10,761,20265,20090,22485,132,540,132.0,19090,0.17345597897503284,29040.442,5783.560451161804,1.0,86400.0,24827.279452432922,144,544,144.0,20440,0.18922470433639949,29059.936000000005,5745.111741076709,1.0,86400.0,25201.26343374866,163,567,163.0,21150,0.21419185282522996,29060.0,6006.371886010626,1.0,86400.0,22039.50077467836,636.1348826885223
oa_het_115,10,1,2,0.01,21600,2.777777777777778e-06,1,8,2,dp,2,10,159,1356,1389,2466,12,51,12.0,680,0.07547169811320754,20928.0,6600.0,1.0,86400.0,41871.82497286664,18,50,18.0,910,0.11320754716981132,20457.0,5744.761904761905,1.0,86400.0,41042.703568798664,25,57,25.0,1090,0.15723270440251572,20600.0,5717.828571428571,1.0,86400.0,33607.60792493915,50.825690269470215
oa_het_116,60,10,2,0.01,43200,2.777777777777778e-08,1,1,4,dp,2,10,3,12262,13676,58178,2,3,2.0,190,0.6666666666666666,22796.0,4560.0,1.0,59424.0,6494.407661759644,2,3,2.0,470,0.6666666666666666,22595.0,2520.0,1.0,27555.0,4547.697174046382,2,3,2.0,540,0.6666666666666666,29680.0,2290.869565217391,1.0,10510.0,1759.6684588231808,690.0681991577148
oa_het_117,60,5,2,1,3600,2.777777777777778e-06,1,4,2,dp,2,10,160,10142,8801,14979,37,44,37.0,1110,0.23125,3577.220000000001,1046.6830466830468,1.0,86400.0,7489.211684311983,39,43,39.0,1390,0.24375,3511.4900000000052,924.911754911755,1.0,86400.0,8283.36466318536,42,45,42.0,1710,0.2625,3510.0,860.9016182230467,1.0,86400.0,6846.815313729011,149.48668551445007
oa_het_118,10,10,2,5,21600,2.777777777777778e-08,10,1,2,dp,2,10,21,22832,22686,19783,3,11,3.0,170,0.14285714285714285,19420.204000000005,6000.0,1.0,86400.0,33899.51108453483,3,11,3.0,170,0.14285714285714285,19421.786,6000.0,1.0,86400.0,34422.98359681874,2,11,2.0,140,0.09523809523809523,19420.0,6300.0,1.0,86400.0,34143.20764284942,763.9028687477112
oa_het_119,30,5,2,1,43200,2.7777777777777776e-07,1,1,4,dp,2,10,20,20378,19249,24990,13,20,13.0,2270,0.65,20337.270000000004,3589.6280689196897,1.0,21790.82,3925.34892172112,13,20,13.0,2520,0.65,20336.710000000006,3680.4202424345467,1.0,23570.0,4085.670320858784,13,20,13.0,2620,0.65,20340.0,3581.931802242466,1.0,21820.0,3850.850369327282,497.73256850242615
oa_het_120,30,5,2,0.1,3600,2.777777777777778e-08,1,8,4,dp,2,10,1,15552,14598,25501,0,1,0,20,0.0,86400,86400,1.0,86400.0,5592.2792129825075,0,1,0,20,0.0,86400,86400,1.0,86400.0,5588.477082699105,0,1,0,20,0.0,86400,86400,1.0,86400.0,4495.890637160293,486.3761432170868
oa_het_121,30,10,2,0.1,43200,2.7777777777777776e-07,1,8,2,dp,2,10,20,4118,3859,7252,10,15,10.0,460,0.5,23651.699999999997,9840.0,1.0,86400.0,17610.580380448282,14,16,14.0,790,0.7,33791.1,9491.076066790352,1.0,86400.0,17903.715409827226,15,17,15.0,840,0.75,39850.0,9658.057727438802,1.0,86400.0,13965.354972288602,74.06251740455627
oa_het_122,60,1,2,0.1,21600,2.777777777777778e-05,1,4,4,dp,2,10,1561,26914,24718,64138,514,1488,514.0,134340,0.3292761050608584,12665.300000000003,2080.859060811225,1.0,32772.2,3281.3323917129933,596,1476,596.0,162470,0.381806534272902,13350.5,2000.656813256991,1.0,31704.800000000003,3129.199778503182,777,1488,777.0,304060,0.4977578475336323,20220.0,1534.457408428206,1.0,10570.0,1760.5931404679895,865.399480342865
oa_het_123,60,1,2,5,21600,2.777777777777778e-08,1,1,2,dp,2,10,2,10543,9391,14101,2,2,2.0,40,1.0,11464.759999999995,7200.0,1.0,33389.76,6882.7550320044365,2,2,2.0,40,1.0,11462.740000000005,7200.0,1.0,43721.52599999999,7593.2671365123415,2,2,2.0,40,1.0,11450.0,7200.0,1.0,22370.0,6580.747824335166,142.91023349761963
oa_het_124,30,1,2,0.1,3600,2.777777777777778e-06,1,1,3,dp,2,10,163,8291,7960,13699,0,45,0,880,0.0,86400,86400,1.0,43408.2,8600.499497507983,0,46,0,1030,0.0,86400,86400,1.0,54050.0,8577.491625742361,0,50,0,1320,0.0,86400,86400,1.0,43110.0,6639.10448050457,204.91381812095642
oa_het_125,30,1,2,1,21600,2.777777777777778e-06,1,8,3,dp,2,10,168,13560,12854,16127,55,147,55.0,6290,0.3273809523809524,14930.11,3464.1048578216037,1.0,86400.0,7107.411532030652,53,146,53.0,7110,0.31547619047619047,14900.0,3427.9672062724712,1.0,86400.0,7377.30991440035,55,147,55.0,7740,0.3273809523809524,14900.0,3327.8212893253103,1.0,86400.0,6942.646699900743,232.23353457450867
