lat [deg],lon [deg],start time [s],duration [s],severity,meas_types_needed
-1.79919,-51.38509,73531.91489361702,5514.893617021269,1,|[0, 1, 2]|
-0.52574,-50.77964,71693.6170212766,3676.595744680846,1,|[0, 1, 2]|
-0.5465,-50.87292,73531.91489361702,1838.297872340423,1,|[0, 1, 2]|
-0.5465,-50.87292,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
-0.56317,-51.5146,75370.21276595745,1838.297872340423,1,|[0, 1, 2]|
-0.56317,-51.5146,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-1.88688,-50.73151,79046.8085106383,1838.2978723404376,1,|[0, 1, 2]|
-1.91622,-49.20554,80885.10638297873,1838.297872340423,1,|[0, 1, 2]|
-0.849,-51.18124,77208.51063829787,1838.297872340423,1,|[0, 1, 2]|
-1.19709,-51.86522,14706.382978723404,1838.2978723404249,1,|[0, 1, 2]|
-1.19709,-51.86522,18382.978723404256,3676.5957446808497,1,|[0, 1, 2]|
-0.70949,-51.14214,75370.21276595745,1838.297872340423,1,|[0, 1, 2]|
-0.70949,-51.14214,82723.40425531915,1838.297872340423,1,|[0, 1, 2]|
-0.4994,-51.42077,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-0.48502,-51.35148,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-0.59509,-51.07405,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-0.60119,-51.08713,80885.10638297873,3676.595744680846,1,|[0, 1, 2]|
-2.03883,-53.9821,14706.382978723404,9191.489361702128,1,|[0, 1, 2]|
-2.03883,-53.9821,25736.17021276596,1838.297872340423,1,|[0, 1, 2]|
-0.52546,-50.77991,71693.6170212766,3676.595744680846,1,|[0, 1, 2]|
-2.6595,-44.45136,33089.36170212766,3676.5957446808534,1,|[0, 1, 2]|
-2.72957,-44.57549,27574.468085106382,1838.2978723404267,1,|[0, 1, 2]|
-2.72957,-44.57549,33089.36170212766,3676.5957446808534,1,|[0, 1, 2]|
-2.72957,-44.57549,40442.553191489365,3676.595744680846,1,|[0, 1, 2]|
-2.27923,-44.37719,60663.82978723404,3676.5957446808534,1,|[0, 1, 2]|
-2.59219,-44.45355,42280.85106382979,1838.297872340423,1,|[0, 1, 2]|
-2.41082,-44.30266,36765.95744680851,3676.5957446808534,1,|[0, 1, 2]|
-2.64783,-44.45785,42280.85106382979,1838.297872340423,1,|[0, 1, 2]|
-2.63128,-44.46662,42280.85106382979,1838.297872340423,1,|[0, 1, 2]|
-2.64186,-44.46109,42280.85106382979,1838.297872340423,1,|[0, 1, 2]|
-0.46045,17.69789,77208.51063829787,7353.191489361707,1,|[0, 1, 2]|
-0.56428,17.70575,79046.8085106383,5514.893617021284,1,|[0, 1, 2]|
-0.55356,17.72971,79046.8085106383,5514.893617021284,1,|[0, 1, 2]|
-2.04521,16.33629,25736.17021276596,12868.085106382976,1,|[0, 1, 2]|
-1.61409,16.65007,18382.978723404256,9191.489361702126,1,|[0, 1, 2]|
-1.22896,16.86233,5514.893617021276,5514.893617021276,1,|[0, 1, 2]|
-1.22896,16.86233,14706.382978723404,5514.893617021278,1,|[0, 1, 2]|
-1.22896,16.86233,22059.574468085106,3676.5957446808534,1,|[0, 1, 2]|
