lat [deg],lon [deg]
7.40625,-63.26875
-0.545833333,-76.2625
-13.52708333,-58.56041667
-7.6125,-66.73333333
-3.102083333,-76.09375
0.035416667,-71.325
4.66875,-65.96875
0.10625,-67.28541667
-9.483333333,-67.26875
4.829166667,-71.7625
1.185416667,-70.33958333
-5.10625,-79.23958333
1.195833333,-66.87083333
-11.10416667,-72.82291667
-16.08333333,-66.2125
1.26875,-66.71458333
-8.502083333,-75.64583333
9.735416667,-62.59375
-9.633333333,-64.18541667
4.585416667,-63.72708333
-4.56875,-59.79583333
7.308333333,-70.90416667
4.829166667,-58.025
-11.10208333,-48.62291667
-3.922916667,-64.01041667
6.197916667,-59.24375
9.647916667,-63.9625
-0.141666667,-64.67291667
-1.947916667,-75.93958333
-12.90208333,-59.29791667
-10.68958333,-52.73541667
0.097916667,-60.13125
2.052083333,-78.09375
6.11875,-70.35
3.133333333,-54.44583333
-7.070833333,-52.66041667
-3.004166667,-73.07916667
-5.245833333,-66.23125
3.291666667,-72.325
-1.841666667,-54.82083333
10.02291667,-70.71875
-7.845833333,-50.64583333
-2.422916667,-62.54375
-11.64791667,-47.74791667
2.427083333,-77.26875
-0.34375,-76.63125
4.333333333,-64.2625
2.089583333,-61.58541667
-0.629166667,-60.4
-7.7,-72.60416667
52.33125,88.53333333
51.81041667,71.07291667
59.97708333,82.98125
65.78125,140.0875
62.7875,115.0020833
49.58958333,80.24791667
55.675,126.3875
66.92291667,120.24375
62.80208333,128.9229167
64.71875,65.07708333
68.93541667,163.7270833
59.96875,129.8979167
71.27708333,132.0854167
56.41875,158.9125
70.53958333,127.0479167
63.46041667,76.26041667
53.25208333,89.99375
55.11458333,159.9604167
65.94166667,177.5
54.57291667,70.43125
51.91041667,90.70625
53.31875,115.2520833
62.0375,77.32291667
55.72708333,119.0833333
55.65625,70.09375
49.83125,89.83333333
68.69375,155.2104167
53.09375,93.22916667
69.46458333,107.3145833
56.94375,114.1416667
61.6125,167.9645833
65.44375,138.1729167
69.78125,79.88541667
58.53541667,111.01875
59.80208333,148.54375
63.25208333,65.96875
67.53958333,91.4125
58.82291667,118.8729167
51.475,86.44791667
62.64166667,118.2833333
55.58333333,136
64.71041667,154.4708333
67.25625,133.2375
65.825,127.2583333
66.22916667,153.30625
54.10208333,59.89791667
68.125,97.45833333
68.68125,95.05833333
65.65625,177.1375
66.6125,74.40625
50.35416667,77.82083333
48.84583333,103.0041667
66.45416667,81.225
62.11041667,114.475
64.59791667,94.70208333
54.80625,97.78541667
66.94166667,111.83125
58.82708333,66.725
72.73541667,72.35
65.86666667,66.80833333
56.69166667,110.5
59.69791667,130.0125
62.13958333,148.0479167
73.57916667,84.1375
64.38958333,170.5895833
49.80833333,82.5125
61.73541667,98.5875
56.49166667,104.18125
74.42291667,107.3208333
64.42291667,82.01666667
68.77083333,173.1104167
59.93125,104.6229167
50.3875,85.7625
64.92708333,119.5833333
60.275,143.5666667
56.77291667,118.14375
67.66875,87.62708333
61.46458333,63.93541667
62.90625,156.075
56.27708333,100.5020833
52.96041667,76.94375
49.54375,98.93333333
63.86041667,142.0104167
49.40833333,103.8395833
50.42291667,100.88125
63.76041667,104.5541667
52.10625,91.51666667
61.12916667,80.95833333
49.40833333,109.1583333
51.18541667,83.69791667
65.08125,116.2479167
58.66041667,103.4291667
61.93541667,77.3375
53.50416667,73.0125
51.91458333,87.15
64.94583333,82.2
60.29791667,169.96875
62.32291667,74.86041667
68.19375,79.21041667
51.51875,111.9166667
68.66875,58.12916667
60.54791667,36.00625
68.84166667,27.26666667
41.93541667,14.88125
42.01458333,56.2
40.12083333,-6.404166667
43.50625,54.61875
38.05416667,55.56041667
22.86666667,58.56041667
67.69375,17.49166667
29.18541667,42.76458333
30.79375,42.32291667
44.82083333,29.33958333
62.35,36.44791667
27.11458333,53.96458333
34.65625,44.16458333
63.79375,12.83958333
31.41875,57.51041667
52.37708333,43.09375
53.89791667,32.58958333
62.98333333,44.18541667
48.26458333,8.36875
21.86041667,41.88541667
55.3125,36.44583333
57.61041667,-5.45
41.225,47.32708333
49.59375,40.20625
49.33541667,34.88333333
55.59791667,23.51458333
29.13958333,61.26041667
66.21875,49.36875
31.27291667,56.80625
46.53541667,40.18125
59.96041667,31.54791667
41.36458333,41.825
14.43541667,44.59791667
29.09583333,45.71041667
25.78333333,45.80416667
66.68958333,58.82291667
73.63125,55.96041667
45.82916667,13.19583333
34.37708333,42.2125
58.39166667,55.69583333
62.18541667,54.05208333
57.08333333,-4.233333333
43.28333333,54.9625
47.95,-2.683333333
52.88958333,-6.93125
40.97916667,16.86875
39.53333333,37.72083333
51.43958333,7.672916667
63.53125,41.73125
66.95416667,39.2625
54.05416667,11.73125
48.37291667,39.13541667
55.25208333,40.79166667
35.50208333,41.99166667
41.81041667,46.48125
47.46875,1.539583333
27.73333333,52.65
51.9,49.8
30.40208333,38.84166667
63.01458333,24.69375
63.93125,30.9625
43.275,58.1625
36.12083333,42.51041667
22.475,44.35
38.21041667,40.54791667
52.76041667,-6.783333333
60.575,5.09375
30.92291667,48.62708333
48.48125,5.533333333
36.56666667,58.17083333
53.58958333,46.07708333
50.30625,-4.802083333
53.66458333,-1.947916667
49.90625,31.425
35.55625,57.30208333
58.29375,30.2
15.38958333,43.65833333
33.37083333,46.47291667
37.65833333,40.32708333
36.47291667,45.71875
38.16875,-3.127083333
47.92708333,25.85625
33.32291667,39.27916667
66.52708333,30.16666667
34.32291667,36.3
48.68958333,48.62708333
64.97916667,12.64166667
53.7125,43.67083333
62.79166667,58.01666667
44.40625,38.46666667
62.49375,49.62708333
39.49791667,57.85625
45.39791667,36.08541667
58.0125,41.875
48.21875,3.375
62.375,31.06875
