lat [deg],lon [deg],,
51.19558,-68.98268,,
51.56433,-69.04833,,
51.79258,-70.06494,,
51.20833,-68.37091,,
50.72222,-70.83742,,
51.59318,-69.0724,,
51.30616,-68.285,,
50.68348,-70.84695,,
51.59314,-68.37167,,
51.72259,-70.07849,,
51.70065,-70.11704,,
50.71051,-70.84397,,
50.12205,-69.08694,,
51.32162,-68.29746,,
51.5704,3.9425,,
51.5997,3.68603,,
51.58772,3.93658,,
49.57969,32.68038,,
51.17155,30.49305,,
51.01906,30.49102,,
49.53409,32.0117,,
49.25261,32.78783,,
50.23927,45.67073,,
49.5307,45.11581,,
51.78278,46.49405,,
49.10302,44.93191,,
51.53603,46.13774,,
50.86599,46.07168,,
48.37636,43.19284,,
50.32012,81.30945,,
48.54305,83.4548,,
48.61947,83.47845,,
48.21902,83.03938,,
48.00203,83.92978,,
49.18655,84.47219,,
49.15754,84.26544,,
48.32172,92.5311,,
48.15628,92.3414,,
55.97509,-123.9144,,
55.99987,-123.95153,,
55.9837,-123.91677,,
52.13498,-118.43691,,
55.44269,-107.81543,,
55.44099,-107.83666,,
54.53978,-102.23986,,
55.82624,-100.45207,,
55.07406,-97.61821,,
54.54591,-101.85628,,
55.15868,-97.43635,,
55.70487,-98.93659,,
54.54492,-101.63864,,
54.22663,-97.21084,,
55.07406,-97.61868,,
53.87399,-98.04436,,
54.34565,-97.9843,,
54.21741,-96.73497,,
54.01768,-98.27047,,
55.10424,-97.59296,,
54.98613,-97.79214,,
53.87617,-98.04773,,
54.78352,-93.22538,,
54.74793,-93.28671,,
53.06784,-92.59309,,
54.64071,-94.52201,,
54.97118,-95.24227,,
53.02016,-93.1575,,
54.79693,-93.70096,,
54.70912,-94.24517,,
54.72148,-94.20922,,
52.65416,-76.48536,,
52.6543,-76.48492,,
53.24028,-76.74116,,
53.27592,-76.71966,,
52.44429,-76.37522,,
52.6298,-64.51291,,
52.74673,-64.60541,,
54.07674,-58.3032,,
53.54503,-59.99985,,
53.99505,-58.8558,,
53.64937,-59.87021,,
53.66567,-59.8259,,
53.62288,-59.94487,,
55.99996,-3.40324,,
53.59669,2.00E-05,,
53.76712,14.43442,,
53.857,13.81767,,
53.77423,14.32462,,
52.2346,47.99989,,
53.4629,49.09857,,
55.77203,49.0322,,
52.64683,48.31058,,
55.4024,50.12421,,
55.20416,49.44054,,
55.41403,49.4074,,
53.87562,49.02033,,
54.65119,48.87584,,
54.79077,48.9159,,
55.25223,49.54509,,
55.26968,49.57302,,
55.28058,49.58302,,
54.77719,83.08931,,
55.1366,91.82226,,
55.36211,92.31678,,
55.8696,101.80365,,
54.36273,103.17799,,
53.60858,103.38589,,
53.73833,103.29995,,
53.50816,140.22707,,
53.51048,139.93207,,
52.12893,139.83305,,
56.77837,-124.83923,,
56.17585,-124.1765,,
56.06388,-124.06925,,
59.75722,-118.76597,,
59.29492,-106.85627,,
59.34258,-107.47459,,
57.68343,-106.25185,,
59.36706,-107.79057,,
59.23336,-104.91282,,
59.21954,-105.24708,,
57.46651,-106.7276,,
59.21968,-105.24656,,
57.62459,-106.26062,,
57.54796,-106.34745,,
59.34688,-107.97206,,
58.54579,-98.228,,
56.13026,-96.47266,,
56.26291,-100.52379,,
56.20718,-99.55043,,
56.79295,-99.38709,,
58.61884,-98.38341,,
57.00676,-98.75756,,
56.7225,-99.61333,,
56.71822,-99.02508,,
56.17883,-96.17504,,
56.71674,-99.00547,,
57.58332,-98.28763,,
58.63842,-98.36601,,
56.86067,-99.17425,,
58.62908,-98.38349,,
56.84176,-99.27596,,
57.42797,-98.4223,,
57.32369,-98.31683,,
57.37574,-98.37498,,
56.38829,-94.87579,,
59.49832,-74.53329,,
57.14115,-75.38873,,
59.49832,-74.53276,,
57.21582,-74.90422,,
57.2233,-74.83539,,
58.93788,-69.15698,,
58.99448,-69.39609,,
58.936,-69.76054,,
58.90807,-69.36985,,
58.93787,-69.1575,,
58.78171,-69.81113,,
58.77649,-69.76275,,
58.29154,31.32527,,
58.42488,31.29993,,
57.91829,40.71388,,
59.59916,39.54915,,
59.61181,39.61262,,
59.66705,38.51879,,
59.67085,38.52885,,
56.28764,46.72455,,
57.01579,43.16512,,
56.91633,43.24048,,
56.35932,46.65737,,
57.36388,43.19043,,
57.37294,43.22117,,
57.30546,55.51477,,
58.77897,56.27118,,
58.86017,56.28794,,
58.90583,56.21643,,
56.97212,101.33629,,
56.10027,101.99983,,
57.66423,102.56864,,
56.13159,102.89535,,
56.28866,102.52507,,
57.30326,103.0572,,
57.19488,103.3067,,
56.16135,102.81617,,
56.15726,102.85167,,
56.18009,102.75613,,
56.19331,102.6335,,
57.86586,102.71262,,
56.19073,102.66074,,
56.20886,102.51885,,
56.20873,102.51934,,
57.33344,102.32907,,
56.18356,102.34594,,
56.1837,102.34642,,
56.50485,163.07824,,
56.40458,162.81101,,
60.6397,-162.08376,,
60.28668,-162.4969,,
60.25068,-162.48826,,
61.94086,-146.40471,,
61.31505,-138.77736,,
63.99997,-123.09302,,
60.50893,-121.27377,,
63.07011,-115.72953,,
61.10026,-116.98896,,
63.31114,-117.91726,,
63.25252,-117.76662,,
60.19784,-115.43301,,
61.10869,-117.12254,,
63.19708,-117.59163,,
63.41316,-118.21132,,
60.31974,-115.15937,,
63.41316,-118.21072,,
64,-107.48371,,
63.28505,-107.726,,
63.9996,-107.48306,,
64,-99.87934,,
63.32606,-97.32466,,
61.32026,-97.28564,,
63.97793,-97.72345,,
63.91984,-98.90164,,
63.43246,-97.30342,,
61.6701,-97.43603,,
63.73512,-98.86521,,
63.44457,-97.303,,
61.77219,-97.69356,,
61.47143,-97.4232,,
63.90258,-98.36198,,
63.98055,-97.73068,,
63.98729,-98.47255,,
63.9999,-98.46802,,
61.57412,-97.40471,,
61.55621,-97.41664,,
63.96721,-93.69299,,
63.5748,-91.23754,,
63.97806,-93.47201,,
60.03038,10.20827,,
60.99842,14.56201,,
60.87069,14.74993,,
63.27252,14.17336,,
63.2064,14.29693,,
63.52742,34.47477,,
63.77827,34.43398,,
62.94746,30.75682,,
63.56648,34.73838,,
63.74673,34.464,,
63.73207,34.50152,,
63.64988,34.67774,,
63.61323,34.67921,,
63.33703,33.7495,,
63.53776,34.7303,,
63.29966,33.683,,
63.32129,33.72124,,
63.29837,33.6716,,
62.28443,36.89078,,
60.53957,39.11583,,
62.36451,36.93155,,
60.63658,39.0479,,
63.04815,112.20988,,
62.89943,111.06099,,
63.07714,111.20092,,
62.92814,111.77477,,
62.62032,111.28348,,
62.8501,112.19201,,
62.6257,111.28792,,
62.73417,111.30951,,
63.86033,127.48045,,
63.51831,128.99598,,
63.99999,127.22099,,
63.44866,129.45676,,
63.51831,128.99538,,
63.8449,127.53802,,
63.47796,129.38135,,
63.44879,129.45736,,
62.57089,176.70366,,
65.50454,-171.77143,,
65.6428,-172.43533,,
64.58574,-110.03966,,
65.48222,-110.41442,,
65.72044,-110.88111,,
64.5509,-110.9732,,
65.83963,-111.16892,,
65.55165,-110.48302,,
65.72194,-110.91707,,
64.48229,-110.34664,,
64.61016,-100.47504,,
65.26063,-99.63292,,
65.91128,-100.30573,,
64.748,-97.56368,,
66.11041,-100.33023,,
64.65346,-99.84831,,
65.89902,-99.6855,,
64.03353,-99.83097,,
64.55242,-98.44758,,
65.8882,-99.83264,,
64.15423,-94.80489,,
64.15436,-94.80551,,
64.1728,-95.63718,,
65.77339,-67.80173,,
66.47592,-66.94409,,
65.69856,-67.73626,,
66.03714,-64.93325,,
67.38026,16.53914,,
64.35993,27.73714,,
64.48263,27.0957,,
64.3099,27.57888,,
64.39174,27.13768,,
64.29647,27.21842,,
67.88423,33.19482,,
67.50672,31.86253,,
67.50923,32.44505,,
66.24631,30.76394,,
67.56313,32.85936,,
66.14926,30.93016,,
65.99359,31.05087,,
65.77123,31.60995,,
65.6849,32.01947,,
65.73025,31.88103,,
65.63927,32.13005,,
65.75449,31.77783,,
65.74052,31.83346,,
66.78514,69.75558,,
66.78879,69.1121,,
66.6021,69.3966,,
67.01726,89.39988,,
67.68162,87.50427,,
67.68148,87.50356,,
67.81423,87.5623,,
67.05766,123.42128,,
67.2102,123.32712,,
67.27734,123.25357,,
66.58965,123.58892,,
64.71357,125.31602,,
66.33879,123.77865,,
64.95725,124.85859,,
66.39303,123.74945,,
67.2307,123.30205,,
66.27343,123.8224,,
66.13325,123.90856,,
64.95615,124.8601,,
66.30488,123.83012,,
66.24103,123.84136,,
64.37618,126.44629,,
64.18637,126.79986,,
64.45147,126.00019,,
68.94423,-134.81606,,
69.46107,-104.36112,,
69.43234,-106.06527,,
69.43223,-105.81274,,
70.9355,-80.69812,,
68.79134,-68.89015,,
70.30012,-68.27368,,
68.04634,26.70542,,
68.57543,31.12999,,
68.65355,30.8102,,
68.60744,31.30648,,
69.2268,64.84376,,
70.69234,82.39989,,
70.96674,82.76682,,
70.93958,83.01637,,
70.27262,82.53058,,
70.9666,82.76763,,
70.52913,83.20502,,
70.31892,82.69331,,
70.9764,78.32028,,
70.80118,83.36183,,
71.15869,78.01913,,
70.64101,83.36291,,
71.16094,78.00023,,
68.44264,89.00591,,
70.13871,88.27852,,
69.55354,89.99981,,
69.73138,84.00028,,
68.83091,89.63758,,
69.55307,89.97222,,
69.53833,87.87688,,
69.7836,87.75326,,
69.35013,89.18601,,
68.21434,87.97413,,
68.28186,88.32758,,
68.24376,88.04792,,
69.56261,90.19803,,
68.39057,91.43657,,
69.5626,90.19726,,
68.27838,90.00025,,
68.32084,90.90701,,
68.76363,90.0003,,
68.33079,90.96073,,
68.03327,123.22159,,
71.40941,137.55477,,
71.31117,137.90663,,
71.36416,137.72979,,
71.34175,137.7527,,
69.50354,161.14482,,
75.1362,100.21576,,
74.40496,99.63817,,
74.40509,99.63918,,
72.55461,104.47044,,
72.88272,105.81763,,
72.76787,105.13095,,
73.34971,113.68202,,
73.08618,119.54526,,
72.91035,122.16523,,
72.92502,122.07299,,
73.27875,128.66775,,
73.27861,128.66682,,
72.04386,128.58092,,
72.05491,128.91131,,
-3.915,-73.20507,,
-3.31881,-60.24266,,
-0.31371,-64.04566,,
-0.53902,-63.44989,,
-3.51253,-64.94633,,
-1.33842,-61.9601,,
-3.52159,-63.25516,,
-0.72496,-63.01663,,
-1.61791,-61.50009,,
-0.49261,-63.51513,,
-0.94888,-62.81696,,
-0.31357,-64.04539,,
-1.64205,-61.4843,,
-0.78983,-62.9623,,
-0.86691,-62.91363,,
