name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_meas_types,planner,reobserve_reward,reward,reward_increment,time_horizon,events,replan_obs_count,replan_het_obs_count,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
grid_search_10,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,1000,7848,20713,20451,134,4547,134.0,95420,0.017074413863404688,14030.800000000003,2253.3042023823414,1.0,86400.0,18099.789266017426,162,4693,162.0,88000,0.020642201834862386,14050.0,2546.7702667702665,1.0,86400.0,17605.87287545922,1299.136681318283
grid_search_11,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.1,5000,7848,20535,20242,128,4378,128.0,84410,0.0163098878695209,14275.500000000007,2362.018294205794,1.0,86400.0,17381.93765454757,135,4512,135.0,81570,0.017201834862385322,14275.500000000007,2547.764531764531,1.0,86400.0,17080.591771382387,1244.2567901611328
grid_search_12,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.5,500,7848,21562,21354,109,4959,109.0,91100,0.013888888888888888,14030.800000000003,2476.697247706422,1.0,86400.0,17941.512967279195,126,5004,126.0,86630,0.016055045871559634,14030.800000000003,2737.8516721373862,1.0,86400.0,17727.40803336593,1390.0502338409424
grid_search_13,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.5,1000,7848,21445,21156,138,4751,138.0,94670,0.017584097859327217,14030.800000000003,2441.0332548951474,1.0,86400.0,18688.6834476078,147,4861,147.0,88530,0.018730886850152905,14030.800000000003,2637.335861417494,1.0,86400.0,18189.857618563386,1320.396734714508
grid_search_14,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,0.5,5000,7848,21028,20808,136,4438,136.0,86200,0.017329255861365953,14275.500000000007,2365.315463083629,1.0,86400.0,18836.37211044091,130,4542,130.0,82520,0.016564729867482163,14275.500000000007,2562.5654345654343,1.0,86400.0,18440.33282161808,1261.1494481563568
grid_search_15,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,1.0,500,7848,21481,21318,92,4986,92.0,86830,0.011722731906218144,14030.800000000003,2661.4511575381143,1.0,86400.0,17786.430914860495,100,5005,100.0,83080,0.0127420998980632,14030.800000000003,2927.1636363636367,1.0,86400.0,17755.14094229265,1429.2668688297272
grid_search_16,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,1.0,1000,7848,21736,21527,125,4969,125.0,90430,0.015927624872579,14030.800000000003,2570.6825974025974,1.0,86400.0,18447.556452284196,128,5005,128.0,85640,0.0163098878695209,14030.800000000003,2833.806818181818,1.0,86400.0,18262.664795653767,1350.770149230957
grid_search_17,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,10,1.0,5000,7848,21139,21010,144,4444,144.0,86690,0.01834862385321101,14275.500000000007,2358.866868425692,1.0,86400.0,19420.029619825407,143,4520,143.0,82870,0.018221202854230376,14275.500000000007,2507.1012903180736,1.0,86400.0,19144.732066920493,1284.2825236320496
grid_search_18,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.1,500,7848,20681,20483,136,4531,136.0,488000,0.017329255861365953,14050.099999999999,2148.706233213153,1.0,86400.0,18658.177636808232,151,4713,151.0,461250,0.019240570846075434,14030.800000000003,2419.5707603654623,1.0,86400.0,18160.862223426884,1384.9718387126923
grid_search_19,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.1,1000,7848,20664,20455,134,4541,134.0,475050,0.017074413863404688,14030.800000000003,2251.4491917213604,1.0,86400.0,18161.066658245316,160,4713,160.0,439550,0.020387359836901122,14050.0,2605.0906593406594,1.0,86400.0,17604.122178412108,1319.8724071979523
grid_search_20,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.1,5000,7848,20528,20280,132,4382,132.0,423400,0.016819571865443424,14275.500000000007,2326.866965476591,1.0,86400.0,17404.602338206238,138,4515,138.0,408850,0.017584097859327217,14275.500000000007,2536.236806671589,1.0,86400.0,17078.488392316707,1259.243010044098
grid_search_21,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.5,500,7848,20819,20598,146,4549,146.0,486300,0.018603465851172275,14050.099999999999,2244.1661481145766,1.0,86400.0,19302.398666410907,146,4701,146.0,459050,0.018603465851172275,14030.800000000003,2367.7979554691883,1.0,86400.0,18858.544630902965,1397.8252968788147
grid_search_22,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.5,1000,7848,20614,20483,130,4555,130.0,475150,0.016564729867482163,14030.800000000003,2198.381037395565,1.0,86400.0,19380.771251567592,149,4701,149.0,442100,0.01898572884811417,14042.0,2471.688713970593,1.0,86400.0,18860.558263726485,1318.048038482666
grid_search_23,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,0.5,5000,7848,20937,20765,134,4432,134.0,430950,0.017074413863404688,14275.500000000007,2349.2870255293433,1.0,86400.0,18881.63377522829,125,4570,125.0,413000,0.015927624872579,14275.500000000007,2568.8212587412586,1.0,86400.0,18389.97567703432,1282.4381313323975
grid_search_24,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,1.0,500,7848,21228,21031,148,4681,148.0,484100,0.018858307849133536,14030.800000000003,2275.667980667981,1.0,86400.0,18843.485130580484,160,4812,160.0,462400,0.020387359836901122,14104.199999999997,2465.6903096903093,1.0,86400.0,18691.30890620957,1411.680570602417
grid_search_25,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,1.0,1000,7848,20812,20601,144,4600,144.0,477300,0.01834862385321101,14030.800000000003,2231.372418431242,1.0,86400.0,19482.784374233685,160,4748,160.0,444500,0.020387359836901122,14030.800000000003,2550.7097902097903,1.0,86400.0,19074.645570400873,1325.4430289268494
grid_search_26,30,0,2,0.1,14400,2.777777777777778e-05,5,1,3,dp,2,50,1.0,5000,7848,20899,20752,132,4399,132.0,429200,0.016819571865443424,14275.500000000007,2387.6537099264374,1.0,86400.0,19560.22723990943,131,4492,131.0,408700,0.016692150866462793,14275.500000000007,2506.7787174657406,1.0,86400.0,19232.151420355403,1279.573917388916
