name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,diff_perc_cov,diff_num_coobs,diff_avg_rev,init percent coverage of possible events,replan percent coverage of possible events,diff percent coverage of possible events,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_47,60,5,2,0.1,21600,2.78E-07,10,1,4,dp,2,10,163,116794,108200,571464,22,133,22,6280,0.134969325,11952.6,2046.210061,1,86400,9569.48526,57,151,57,16700,0.349693252,16475.7,1675.027092,1,86400,6567.882911,0.214723927,35,-371.182969,0.241758242,0.626373626,0.384615385,91,157,91,30310,0.558282209,16490,1539.573919,1,10540,1762.695346,10969.91063
oa_het_52,10,5,2,0.1,3600,2.78E-07,5,4,2,dp,2,10,77,7315,6857,11151,0,4,0,40,0,86400,86400,1,86400,38908.72874,1,4,1,60,0.012987013,1945.1,900,1,86400,39929.72157,0.012987013,1,-85500,0,0.5,0.5,2,6,2,90,0.025974026,2280,1050,1,86400,33519.79904,223.1731844
oa_het_71,60,5,2,0.1,3600,2.78E-07,10,8,3,dp,2,10,161,71786,62255,339630,1,53,1,870,0.00621118,751.2,600,1,86400,12641.6601,7,55,7,1720,0.043478261,1903.6,352.6402169,1,86400,12107.33725,0.037267081,6,-247.3597831,0.111111111,0.777777778,0.666666667,9,81,9,4560,0.055900621,610,208.1898148,1,86400,3681.945449,6796.062754
oa_het_107,30,5,2,1,21600,2.78E-08,1,8,3,dp,2,10,3,13705,13082,15930,2,3,2,120,0.666666667,13959.07,4320,1,86400,7175.118762,2,3,2,120,0.666666667,13963.79,4320,1,86400,7427.358525,0,0,0,1,1,0,2,3,2,120,0.666666667,13940,4320,1,86400,7110.269001,229.7633746
oa_het_117,60,5,2,1,3600,2.78E-06,1,4,2,dp,2,10,160,10142,8801,14979,37,44,37,1110,0.23125,3577.22,1046.683047,1,86400,7489.211684,39,43,39,1390,0.24375,3511.49,924.9117549,1,86400,8283.364663,0.0125,2,-121.7712918,0.880952381,0.928571429,0.047619048,42,45,42,1710,0.2625,3510,860.9016182,1,86400,6846.815314,149.4866855
oa_het_119,30,5,2,1,43200,2.78E-07,1,1,4,dp,2,10,20,20378,19249,24990,13,20,13,2270,0.65,20337.27,3589.628069,1,21790.82,3925.348922,13,20,13,2520,0.65,20336.71,3680.420242,1,23570,4085.670321,0,0,90.79217351,1,1,0,13,20,13,2620,0.65,20340,3581.931802,1,21820,3850.850369,497.7325685
oa_het_127,60,5,2,1,3600,2.78E-05,1,8,4,dp,2,10,1576,41946,36831,61488,41,848,41,43780,0.026015228,1831.41,186.8576539,1,86400,2510.64734,63,835,63,49170,0.039974619,1814.1,170.2444106,1,86400,2707.874597,0.013959391,22,-16.61324332,0.577464789,0.887323944,0.309859155,71,873,71,65020,0.045050761,1620,130.4983086,1,86400,2292.08281,895.2340395
oa_het_140,60,5,2,1,43200,2.78E-07,1,1,3,dp,2,10,15,21226,18733,32235,13,15,13,2100,0.866666667,28069.85,3503.133789,1,14122.92,3370.003888,13,15,13,2680,0.866666667,28070,3592.584,1,42247.46,3736.20222,0,0,89.45021081,1,1,0,13,15,13,3590,0.866666667,28070,3255.434066,1,14060,3084.003135,367.1700869
oa_het_176,10,5,2,1,3600,2.78E-06,1,4,3,dp,2,10,130,5032,4966,5105,1,19,1,400,0.007692308,2380,600,1,86400,21071.0972,1,19,1,410,0.007692308,2380,600,1,86400,21322.84799,0,0,0,1,1,0,1,19,1,410,0.007692308,2380,600,1,86400,20898.18331,163.6514449
oa_het_20,60,5,2,1,43200,2.78E-05,10,4,4,dp,2,10,15726,213587,188744,616540,9323,14565,9323,1923110,0.592839883,42206.44,3076.711598,1,86400,5114.794782,10323,14640,10323,2077330,0.656428844,42116.65,3156.055583,1,86400,4634.299081,0.063588961,1000,79.343985,0.765058264,0.847119645,0.082061382,12186,15060,12186,5585270,0.774895078,42580,1940.27837,1,86400,1948.52855,25506.1365
oa_het_22,30,5,2,1,43200,2.78E-06,10,1,2,dp,2,10,1593,30015,27962,62543,557,1082,557,26490,0.349654739,42810.43,10951.1779,1,86400,25453.78349,648,1064,648,35340,0.406779661,43059.58,10126.32197,1,86400,26623.87731,0.057124922,91,-824.85593,0.568367347,0.66122449,0.092857143,980,1337,980,53990,0.615191463,43030,10339.26732,1,64290,13539.83986,1542.564307
oa_het_30,10,5,2,1,43200,2.78E-08,5,4,4,dp,2,10,6,41543,40936,45590,2,4,2,150,0.333333333,32402.45,7405.714286,1,86400,11830.14746,2,4,2,150,0.333333333,32398.35,7405.714286,1,86400,11860.65282,0,0,0,1,1,0,2,4,2,150,0.333333333,32400,7405.714286,1,86400,11288.13915,1279.311471
oa_het_32,10,5,2,1,21600,2.78E-07,5,8,3,dp,2,10,65,25062,25357,29340,3,42,3,810,0.046153846,14060.04,4200,1,86400,21117.22048,3,42,3,800,0.046153846,14065.3,4200,1,86400,21319.33924,0,0,0,1,1,0,3,42,3,820,0.046153846,14060,4440,1,86400,20540.83335,720.165272
oa_het_37,10,5,2,1,21600,2.78E-06,10,1,4,dp,2,10,1652,63149,63065,79236,88,1194,88,33330,0.053268765,11177.07,2808.229643,1,86400,15091.45228,123,1222,123,40020,0.074455206,11165.02,2568.794506,1,86400,14702.83985,0.021186441,35,-239.435137,0.606896552,0.848275862,0.24137931,145,1322,145,41960,0.087772397,11170,2846.381143,1,64650,11051.99468,3067.301561
oa_het_66,60,5,2,1,21600,2.78E-05,5,8,2,dp,2,10,7684,33812,29126,79193,4129,6248,4129,178180,0.537350338,21552.57,5681.853604,1,86400,11652.97495,4026,5944,4026,190340,0.523945862,21549.67,5471.430577,1,86400,13188.44102,-0.013404477,-103,-210.4230273,0.614343104,0.599018003,-0.0153251,6721,6892,6721,406830,0.874674649,21600,5171.131925,1,86400,7051.554072,1833.488932
oa_het_74,30,5,2,1,3600,2.78E-06,5,8,2,dp,2,10,825,22183,20508,35691,44,115,44,1920,0.053333333,3510.44,1073.961039,1,86400,16910.06614,61,117,61,2490,0.073939394,3487.87,950.3044496,1,86400,17558.08897,0.020606061,17,-123.6565893,0.523809524,0.726190476,0.202380952,84,135,84,3400,0.101818182,3520,923.7064523,1,86400,14159.83416,632.1692095
oa_het_78,30,5,2,1,43200,2.78E-08,10,4,2,dp,2,10,18,35428,32643,68795,5,10,5,220,0.277777778,22979.87,11520,1,86400,20702.68528,9,10,9,780,0.5,36669.71,7984.761905,1,86400,21606.77264,0.222222222,4,-3535.238095,0.416666667,0.75,0.333333333,12,13,12,1120,0.666666667,38600,8398.72093,1,86400,13644.87838,1765.426861
oa_het_85,60,5,2,1,3600,2.78E-05,10,1,3,dp,2,10,15704,110864,97615,320831,71,4651,71,113500,0.004521141,2755.54,469.4208526,1,86400,11063.24957,202,4783,202,135860,0.012862965,3139.29,463.3416318,1,86400,7651.669498,0.008341824,131,-6.079220776,0.125,0.355633803,0.230633803,568,6858,568,329420,0.036169129,2480,300.1954029,1,14060,3093.123467,12480.86334
oa_het_104,30,5,2,5,3600,2.78E-05,10,4,3,dp,2,10,15580,93405,90809,152199,43,4092,43,91400,0.002759949,2388.45,336.3705583,1,86400,9695.137647,83,4339,83,112150,0.005327343,2720.04,311.1395032,1,86400,8954.44347,0.002567394,40,-25.23105507,0.417475728,0.805825243,0.388349515,103,4873,103,148960,0.00661104,2390,273.0447567,1,86400,6644.727417,7880.266873
oa_het_105,30,5,2,5,21600,2.78E-07,5,4,2,dp,2,10,78,25370,24560,34915,38,62,38,1440,0.487179487,20961.642,5952.200957,1,86400,15809.69735,35,65,35,1680,0.448717949,20958.726,5596.675325,1,86400,15858.69299,-0.038461538,-3,-355.5256323,0.926829268,0.853658537,-0.073170732,41,67,41,1820,0.525641026,20960,5654.183865,1,86400,13613.5264,660.7979023
oa_het_114,10,5,2,5,43200,2.78E-06,5,1,3,dp,2,10,761,20265,20090,22485,132,540,132,19090,0.173455979,29040.442,5783.560451,1,86400,24827.27945,144,544,144,20440,0.189224704,29059.936,5745.111741,1,86400,25201.26343,0.015768725,12,-38.44871009,0.809815951,0.883435583,0.073619632,163,567,163,21150,0.214191853,29060,6006.371886,1,86400,22039.50077,636.1348827
oa_het_135,30,5,2,5,3600,2.78E-06,5,8,4,dp,2,10,776,106208,102920,144917,3,307,3,9880,0.003865979,635.83,194.8051948,1,86400,4750.606239,7,320,7,12280,0.009020619,630.282,122.4718052,1,86400,4658.229561,0.005154639,4,-72.33338964,0.333333333,0.777777778,0.444444444,9,331,9,13730,0.011597938,460,136.6535995,1,86400,4259.888458,3172.27583
